State,Year,Quater,Registered_Users,App_Opens
Andhra Pradesh,2024,2,3597667,70529565
Andhra Pradesh,2024,2,1551988,27503934
Andhra Pradesh,2024,2,4515738,221069497
Andhra Pradesh,2024,2,2099814,61269760
Andhra Pradesh,2024,2,2720387,120912449
Andhra Pradesh,2024,2,2580812,93496809
Andhra Pradesh,2024,2,3508719,56640987
Andhra Pradesh,2024,2,3552494,52309743
Andhra Pradesh,2024,2,2114324,69447820
Andhra Pradesh,2024,2,1340999,48299033
Andhra Pradesh,2024,2,1976516,59839679
Andhra Pradesh,2024,2,2409237,45912661
Andhra Pradesh,2024,2,3335024,134049145
Andhra Pradesh,2024,3,1167720,59935362
Andhra Pradesh,2024,3,971036,17599044
Andhra Pradesh,2024,3,2487971,32301176
Andhra Pradesh,2024,3,1446214,86081128
Andhra Pradesh,2024,3,1209238,116758872
Andhra Pradesh,2024,3,1695537,23423512
Andhra Pradesh,2024,3,800410,23684301
Andhra Pradesh,2024,3,920716,87262138
Andhra Pradesh,2024,3,1320379,174845086
Andhra Pradesh,2024,3,897899,32261276
Andhra Pradesh,2024,3,1870882,40985457
Andhra Pradesh,2024,3,292488,178406258
Andhra Pradesh,2024,3,900737,72969773
Andhra Pradesh,2024,3,883584,98352753
Andhra Pradesh,2024,3,963840,76909163
Andhra Pradesh,2024,3,1166571,98216415
Andhra Pradesh,2024,3,301205,30111342
Andhra Pradesh,2024,3,788204,48563272
Andhra Pradesh,2024,3,703301,39373168
Andhra Pradesh,2024,3,1953695,47433380
Andhra Pradesh,2024,3,1293864,26508076
Andhra Pradesh,2024,3,860834,29977574
Andhra Pradesh,2024,3,1209820,71588398
Andhra Pradesh,2024,3,1017107,18906686
Andhra Pradesh,2024,3,1066558,69927623
Andhra Pradesh,2024,3,955493,58045203
Andhra Pradesh,2024,4,1202680,70992699
Andhra Pradesh,2024,4,1000848,50503455
Andhra Pradesh,2024,4,2566650,135700425
Andhra Pradesh,2024,4,1485904,95296811
Andhra Pradesh,2024,4,1243710,69757232
Andhra Pradesh,2024,4,1749346,93254969
Andhra Pradesh,2024,4,821763,43757281
Andhra Pradesh,2024,4,945246,67118152
Andhra Pradesh,2024,4,1358486,105608573
Andhra Pradesh,2024,4,922107,53108897
Andhra Pradesh,2024,4,1927263,120835456
Andhra Pradesh,2024,4,302981,32628930
Andhra Pradesh,2024,4,924312,52595448
Andhra Pradesh,2024,4,905055,105894571
Andhra Pradesh,2024,4,988882,59206517
Andhra Pradesh,2024,4,1199895,69401816
Andhra Pradesh,2024,4,308844,15107951
Andhra Pradesh,2024,4,809552,37840561
Andhra Pradesh,2024,4,721054,42884719
Andhra Pradesh,2024,4,2010922,127291705
Andhra Pradesh,2024,4,1333623,72916150
Andhra Pradesh,2024,4,883659,74150140
Andhra Pradesh,2024,4,1242179,77109426
Andhra Pradesh,2024,4,1048900,63906091
Andhra Pradesh,2024,4,1099358,61712408
Andhra Pradesh,2024,4,981212,67779596
Arunachal Pradesh,2018,1,498,0
Arunachal Pradesh,2018,1,557,0
Arunachal Pradesh,2018,1,7649,0
Arunachal Pradesh,2018,1,278,0
Arunachal Pradesh,2018,1,270,0
Arunachal Pradesh,2018,1,66,0
Arunachal Pradesh,2018,1,2202,0
Arunachal Pradesh,2018,1,49,0
Arunachal Pradesh,2018,1,222,0
Arunachal Pradesh,2018,1,1207,0
Arunachal Pradesh,2018,1,210,0
Arunachal Pradesh,2018,1,601,0
Arunachal Pradesh,2018,1,256,0
Arunachal Pradesh,2018,1,846,0
Arunachal Pradesh,2018,1,22,0
Arunachal Pradesh,2018,1,301,0
Arunachal Pradesh,2018,1,97,0
Arunachal Pradesh,2018,1,192,0
Arunachal Pradesh,2018,1,88,0
Arunachal Pradesh,2018,1,1208,0
Arunachal Pradesh,2018,1,39,0
Arunachal Pradesh,2018,1,1803,0
Arunachal Pradesh,2018,1,572,0
Arunachal Pradesh,2018,1,1525,0
Arunachal Pradesh,2018,1,737,0
Arunachal Pradesh,2018,2,724,0
Arunachal Pradesh,2018,2,856,0
Arunachal Pradesh,2018,2,11418,0
Arunachal Pradesh,2018,2,410,0
Arunachal Pradesh,2018,2,494,0
Arunachal Pradesh,2018,2,112,0
Arunachal Pradesh,2018,2,3442,0
Arunachal Pradesh,2018,2,80,0
Arunachal Pradesh,2018,2,343,0
Arunachal Pradesh,2018,2,1898,0
Arunachal Pradesh,2018,2,318,0
Arunachal Pradesh,2018,2,893,0
Arunachal Pradesh,2018,2,412,0
Arunachal Pradesh,2018,2,1224,0
Arunachal Pradesh,2018,2,37,0
Arunachal Pradesh,2018,2,481,0
Arunachal Pradesh,2018,2,153,0
Arunachal Pradesh,2018,2,293,0
Arunachal Pradesh,2018,2,144,0
Arunachal Pradesh,2018,2,2014,0
Arunachal Pradesh,2018,2,66,0
Arunachal Pradesh,2018,2,2646,0
Arunachal Pradesh,2018,2,883,0
Arunachal Pradesh,2018,2,2266,0
Arunachal Pradesh,2018,2,1276,0
Arunachal Pradesh,2018,3,1033,0
Arunachal Pradesh,2018,3,1226,0
Arunachal Pradesh,2018,3,16009,0
Arunachal Pradesh,2018,3,542,0
Arunachal Pradesh,2018,3,717,0
Arunachal Pradesh,2018,3,145,0
Arunachal Pradesh,2018,3,4765,0
Arunachal Pradesh,2018,3,118,0
Arunachal Pradesh,2018,3,521,0
Arunachal Pradesh,2018,3,2612,0
Arunachal Pradesh,2018,3,431,0
Arunachal Pradesh,2018,3,1286,0
Arunachal Pradesh,2018,3,644,0
Arunachal Pradesh,2018,3,1652,0
Arunachal Pradesh,2018,3,65,0
Arunachal Pradesh,2018,3,646,0
Arunachal Pradesh,2018,3,222,0
Arunachal Pradesh,2018,3,373,0
Arunachal Pradesh,2018,3,190,0
Arunachal Pradesh,2018,3,2889,0
Arunachal Pradesh,2018,3,103,0
Arunachal Pradesh,2018,3,3590,0
Arunachal Pradesh,2018,3,1169,0
Arunachal Pradesh,2018,3,3112,0
Arunachal Pradesh,2018,3,1862,0
Arunachal Pradesh,2018,4,1459,0
